Date,Heure,Station,Nb_validations
20190116,0,Acadie,13
20190116,0,Angrignon,24
20190116,0,Assomption,23
20190116,0,Atwater,167
20190116,0,Beaubien,75
20190116,0,Berri-UQAM,502
20190116,0,Bonaventure,314
20190116,0,Cadillac,17
20190116,0,Cartier,19
20190116,0,Champ-de-Mars,268
20190116,0,Charlevoix,35
20190116,0,Crémazie,58
20190116,0,Côte-Sainte-Catherine,43
20190116,0,Côte-Vertu,122
20190116,0,Côte-des-Neiges,107
20190116,0,D'Iberville,6
20190116,0,De Castelnau,28
20190116,0,De l'Église,35
20190116,0,De la Concorde,2
20190116,0,De la Savane,85
20190116,0,Du Collège,47
20190116,0,Fabre,25
20190116,0,Frontenac,33
20190116,0,Georges-Vanier,16
20190116,0,Guy-Concordia,204
20190116,0,Henri-Bourassa,51
20190116,0,Honoré-Beaugrand,54
20190116,0,Jarry,21
20190116,0,Jean-Drapeau,58
20190116,0,Jean-Talon,52
20190116,0,Jolicoeur,13
20190116,0,Joliette,23
20190116,0,LaSalle,7
20190116,0,Langelier,33
20190116,0,Laurier,61
20190116,0,Lionel-Groulx,102
20190116,0,Longueuil,106
20190116,0,Lucien-L'Allier,94
20190116,0,McGill,179
20190116,0,Monk,9
20190116,0,Mont-Royal,108
20190116,0,Montmorency,26
20190116,0,Namur,48
20190116,0,Outremont,7
20190116,0,Papineau,64
20190116,0,Parc,44
20190116,0,Peel,384
20190116,0,Pie-IX,45
20190116,0,Place-Saint-Henri,29
20190116,0,Place-d'Armes,148
20190116,0,Place-des-Arts,164
20190116,0,Plamondon,16
20190116,0,Préfontaine,23
20190116,0,Radisson,18
20190116,0,Rosemont,54
20190116,0,Saint-Laurent,84
20190116,0,Saint-Michel,38
20190116,0,Sauvé,49
20190116,0,Sherbrooke,134
20190116,0,Snowdon,49
20190116,0,Square-Victoria,156
20190116,0,Université-de-Montréal,36
20190116,0,Vendôme,67
20190116,0,Verdun,17
20190116,0,Viau,81
20190116,0,Villa-Maria,11
20190116,0,Édouard-Montpetit,48
20190116,1,Angrignon,1
20190116,1,Assomption,2
20190116,1,Atwater,3
20190116,1,Beaubien,2
20190116,1,Bonaventure,3
20190116,1,Crémazie,2
20190116,1,Côte-Sainte-Catherine,2
20190116,1,Côte-Vertu,1
20190116,1,De Castelnau,1
20190116,1,De l'Église,1
20190116,1,De la Concorde,1
20190116,1,Du Collège,1
20190116,1,Fabre,2
20190116,1,Frontenac,1
20190116,1,Georges-Vanier,2
20190116,1,Guy-Concordia,1
20190116,1,Henri-Bourassa,2
20190116,1,Honoré-Beaugrand,2
20190116,1,Jarry,1
20190116,1,Jean-Talon,4
20190116,1,Laurier,2
20190116,1,Lionel-Groulx,4
20190116,1,Longueuil,1
20190116,1,Lucien-L'Allier,3
20190116,1,McGill,1
20190116,1,Montmorency,1
20190116,1,Namur,1
20190116,1,Papineau,1
20190116,1,Peel,7
20190116,1,Pie-IX,2
20190116,1,Place-des-Arts,1
20190116,1,Préfontaine,1
20190116,1,Radisson,1
20190116,1,Saint-Michel,1
20190116,1,Sauvé,1
20190116,1,Square-Victoria,1
20190116,1,Université-de-Montréal,1
20190116,1,Vendôme,2
20190116,1,Verdun,2
20190116,1,Viau,2
20190116,5,Acadie,59
20190116,5,Angrignon,442
20190116,5,Assomption,67
20190116,5,Atwater,52
20190116,5,Beaubien,125
20190116,5,Berri-UQAM,165
20190116,5,Bonaventure,193
20190116,5,Cadillac,175
20190116,5,Cartier,372
20190116,5,Champ-de-Mars,19
20190116,5,Charlevoix,81
20190116,5,Crémazie,144
20190116,5,Côte-Sainte-Catherine,93
20190116,5,Côte-Vertu,495
20190116,5,Côte-des-Neiges,55
20190116,5,D'Iberville,74
20190116,5,De Castelnau,33
20190116,5,De l'Église,153
20190116,5,De la Concorde,290
20190116,5,De la Savane,7
20190116,5,Du Collège,69
20190116,5,Fabre,103
20190116,5,Frontenac,125
20190116,5,Georges-Vanier,33
20190116,5,Guy-Concordia,122
20190116,5,Henri-Bourassa,497
20190116,5,Honoré-Beaugrand,631
20190116,5,Jarry,124
20190116,5,Jean-Drapeau,17
20190116,5,Jean-Talon,156
20190116,5,Jolicoeur,179
20190116,5,Joliette,162
20190116,5,LaSalle,90
20190116,5,Langelier,210
20190116,5,Laurier,138
20190116,5,Lionel-Groulx,123
20190116,5,Longueuil,575
20190116,5,Lucien-L'Allier,33
20190116,5,McGill,35
20190116,5,Monk,123
20190116,5,Mont-Royal,67
20190116,5,Montmorency,805
20190116,5,Namur,77
20190116,5,Outremont,21
20190116,5,Papineau,119
20190116,5,Parc,107
20190116,5,Peel,18
20190116,5,Pie-IX,258
20190116,5,Place-Saint-Henri,67
20190116,5,Place-d'Armes,23
20190116,5,Place-des-Arts,53
20190116,5,Plamondon,192
20190116,5,Préfontaine,72
20190116,5,Radisson,414
20190116,5,Rosemont,124
20190116,5,Saint-Laurent,19
20190116,5,Saint-Michel,412
20190116,5,Sauvé,241
20190116,5,Sherbrooke,65
